'USA', 81900012, 25480, 1009390, +466, 65968467, 127189, 14922155, 1767, 244908, 3018, 987362808, 2952541, 334411183
'India', 43030925, 1086, 521518, +72, 42497567, 1198, 11840, 8944, 30653, 371, 791546038, 563848, 1403828461
'Brazil', 30040129, 27331, 660586, +205, 28892353, 57867, 487190, 8318, 139583, 3069, 63776166, 296340, 215212745
'France', 26228521, 203021, 142784, +129, 23615792, 108683, 2469945, 1541, 400269, 2179, 254106036, 3877874, 65527156
'Germany', 21959130, 190104, 131183, +470, 17407700, 251100, 4420247, 2494, 260629, 1557, 104701826, 1242687, 84254408
'UK', 21430270, 50027, 166148, +368, 19336346, 73405, 1927776, 351, 312795, 2425, 507870986, 7412850, 68512244
'Russia', 17926104, 13947, 370311, +316, 17035336, 37459, 520457, 2300, 122744, 2536, 273400000, 1872034, 146044351
'Italy', 14966665, 88780, 160103, +194, 13531567, 88637, 1274995, 471, 248180, 2655, 204235935, 3386677, 60305701
'Turkey', 14919591, 12213, 98234, +37, 14598047, 13568, 223310, 975, 173620, 1143, 154964245, 1803323, 85932601
'S.Korea', 14267401, 265995, 17662, +209, 0, 0, 0, 1108, 277864, 344, 15804065, 307791, 51346669
'Spain', 11578653, 6769, 102747, +50, 10997681, 22350, 478225, 420, 247478, 2196, 471036328, 10067766, 46786580
'Vietnam', 9922040, 54995, 42681, +39, 8147290, 303455, 1732069, 2055, 100348, 432, 84742786, 857057, 98876493
'Argentina', 9045326, 2228, 128106, +20, 8872658, 2116, 44562, 468, 196963, 2790, 35510477, 773244, 45924025
'Netherlands', 7935057, 14032, 22037, +14, 6685179, 66792, 1227841, 120, 461302, 1281, 21107399, 1227071, 17201452
'Iran', 7175780, 4615, 140407, +39, 6895961, 5193, 139412, 1440, 83555, 1635, 49358909, 574739, 85880542
'Japan', 6735920, 33834, 28327, +41, 6245827, 42305, 461766, 508, 53546, 225, 43901851, 348991, 125796563
'Colombia', 6086484, 251, 139678, +8, 5919709, 324, 27097, 342, 117420, 2695, 34019306, 656297, 51835193
'Indonesia', 6023924, 2282, 155421, +72, 5783299, 7241, 85204, 2771, 21622, 558, 92541687, 332164, 278602304
'Poland', 5971986, 1879, 115395, +50, 5333574, 40, 523017, 268, 158099, 3055, 35766808, 946868, 37773820
'Mexico', 5666921, 706, 323235, +12, 4965840, 1420, 377846, 4798, 43156, 2462, 15602608, 118821, 131311353
'Ukraine', 4975837, 2099, 108041, +22, 0, 0, 0, 177, 114989, 2497, 19521252, 451125, 43272403
'Australia', 4785679, 58178, 6435, +37, 4292552, 71166, 486692, 114, 183927, 247, 67080089, 2578081, 26019383
'Malaysia', 4268486, 12017, 35160, +33, 4062154, 20431, 171172, 234, 128980, 1062, 56960067, 1721155, 33094097
'Austria', 3912606, 12946, 16061, +59, 3643590, 35888, 252955, 224, 430116, 1766, 177405999, 19502366, 9096640
'Czechia', 3838889, 6552, 39775, +21, 3747744, 7191, 51370, 92, 357310, 3702, 54790753, 5099722, 10743870
'Thailand', 3757575, 21088, 25606, +91, 3481827, 27519, 250142, 1496, 53597, 365, 17270775, 246347, 70107556
'SouthAfrica', 3725177, 1538, 100067, +15, 3613688, 1607, 11422, 546, 61450, 1651, 23947309, 395029, 60621618
'Philippines', 3679979, 221, 59370, +5, 3586984, 1387, 33625, 289, 32815, 529, 29022359, 258800, 112141839
'Peru', 3549028, 311, 212372, +18, 0, 0, 0, 421, 105068, 6287, 28971116, 857685, 33778256
'Canada', 3521753, 11547, 37772, +51, 3313633, 9066, 170348, 386, 91896, 986, 59642149, 1556292, 38323241
